id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update
22,https://www.coupang.com/vp/products/8906849720?itemId=26014107763&vendorItemId=92995948658,acer,"¾Æ½ºÆÄÀÌ¾î 14, u5 226v",1,,77,,,u5 226v,16,onboard,512,1,14,3,5,4,,140,4.058272633,65,ips,6,0.72826087,10.83,3.767717391,6,0,6,ÄíÆÎ,0,0,0,,a
4,https://www.coupang.com/vp/products/8563924172?itemId=24803637451&vendorItemId=91811310020,acer,"½ºÀ§ÇÁÆ® 14, u7 258v",1,,140,,,u7 258v,32,onboard,512,1,14,8,8,8,1.798913043,126,-6.347554631,65,oled,7,1.72826087,8.97,1.907717391,7.25,1.25,6,ÄíÆÎ,0,0,0,,
40,https://www.coupang.com/vp/products/8906849724,acer,"½ºÀ§ÇÁÆ® °í 14, u5 225h",1,,105,,,u5 225h,16,onboard,512,1,14,8,8,8,1.798913043,130,-3.374461127,63,oled,6,0.72826087,6.81,-0.252282609,9.25,1.25,8,ÄíÆÎ,0,0,0,,
89,https://www.coupang.com/vp/products/8773621852?itemId=25522224881&vendorItemId=92514067366,acer,"¾Æ½ºÆÄÀÌ¾î ¶óÀÌÆ® 16, i3 1305u",1,,42,,,i3 1305u,8,single,512,0,16,3,5,4,-2.201086957,170,-1.449275362,58,ips,2,-3.27173913,5.66,-1.402282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,acer,"½ºÀ§ÇÁÆ® ¶óÀÌÆ® 16, u5 115u",1,,75,,,u5 115u,16,onboard,512,1,16,3,5,4,-2.201086957,119,-31.01449275,58,ips,4,-1.27173913,6.44,-0.622282609,9,0.75,,ÄíÆÎ,0,0,,,
83,https://www.coupang.com/vp/products/8708067859,acer,"¾Æ½ºÆÄÀÌ¾î ¶óÀÌÆ® 16, i5 1335u",1,,52,,,i5 1335u,8,single,512,1,16,3,5,4,-2.201086957,170,-1.449275362,58,ips,3,-2.27173913,5.66,-1.402282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
85,https://www.coupang.com/vp/products/8982838372?itemId=26302272690&vendorItemId=93279989300,asus,"ºñº¸ºÏ 16, i5 120u",1,,50,,,i5 120u,8,single,512,0,16,3,3,3,-3.201086957,188,8.985507246,42,ips,3,-2.27173913,4.1,-2.962282609,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
30,https://www.coupang.com/vp/products/8593723288?itemId=24917488765&vendorItemId=91923824133,asus,"ºñº¸ºÏ 16, u5 225h",1,,70,,,u5 225h,16,dual,512,1,16,3,5,4,-2.201086957,189,9.565217391,42,ips,6,0.72826087,4.8,-2.262282609,8.75,0.75,8,ÄíÆÎ,0,0,0,,
61,https://www.coupang.com/vp/products/8620714025,asus,"ºñº¸ºÏ 18, r7 260",1,,90,,,r7 260,16,onabord,512,0,18.4,6,6,6,-0.201086957,260,19.23761305,70,ips,6,0.72826087,7.37,0.307717391,9.5,0.75,8.75,ÄíÆÎ,0,0,0,,
82,https://www.coupang.com/vp/products/8814642136?itemId=25682243168&vendorItemId=92671562598,asus,"ºñº¸ºÏ s16, i5 13420h",1,,77,,,i5 13420h,16,single,512,1,16,8,5,6.5,0.298913043,170,-1.449275362,70,oled,2,-3.27173913,5.96,-1.102282609,11.75,1.25,10.5,ÄíÆÎ,0,0,0,,
52,https://www.coupang.com/vp/products/8941702848?itemId=26149371639&vendorItemId=93129360141,asus,"ºñº¸ºÏ s16, r7 350",1,,110,,,r7 350,16,single,512,1,16,8,5,6.5,0.298913043,170,-1.449275362,70,oled,6,0.72826087,7.57,0.507717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
32,https://www.coupang.com/vp/products/8952483892?itemId=26187891331&vendorItemId=93167335508,asus,"ºñº¸ºÏ s16, u5 225h",1,,103,,,u5 225h,16,single,512,1,16,8,5,6.5,0.298913043,170,-1.449275362,70,oled,6,0.72826087,7.57,0.507717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
15,https://www.coupang.com/vp/products/8539448432?itemId=24722655866&vendorItemId=91731863931,asus,"Á¨ºÏ 14, u7 255h",1,,123,,,u7 255h,16,onaboard,512,1,14,8,8,8,1.798913043,128,-4.861007879,75,oled,7,1.72826087,8.11,1.047717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
16,https://www.coupang.com/vp/products/8663359080?itemId=25144221332&vendorItemId=92143117148,asus,"Á¨ºÏ 14, u7 255h",2,,137,,,u7 255h,32,onaboard,512,1,14,8,8,8,1.798913043,128,-4.861007879,75,oled,7,1.72826087,8.11,1.047717391,9.25,1.25,8,ÄíÆÎ,0,0,0,,
28,https://www.coupang.com/vp/products/8410862361?itemId=24318990059&vendorItemId=91334761271,asus,"Á¨ºÏ s14, u5 226v",1,,150,,,u5 226v,16,onaboard,512,1,14,8,8,8,1.798913043,120,-10.80719489,72,oled,6,0.72826087,9.93,2.867717391,7.25,1.25,6,ÄíÆÎ,0,0,0,±×·¹ÀÌ,
29,https://www.coupang.com/vp/products/8410863709?itemId=24318995803&vendorItemId=91334766593,asus,"Á¨ºÏ s14, u5 226v",2,,150,,,u5 226v,16,onaboard,512,1,14,8,8,8,1.798913043,120,-10.80719489,72,oled,6,0.72826087,9.93,2.867717391,7.25,1.25,6,ÄíÆÎ,0,0,0,È­ÀÌÆ®,
9,https://www.coupang.com/vp/products/8544270516?itemId=24738885102&vendorItemId=91747617943,asus,"Á¨ºÏ s16, u7 258v",1,,190,,,u7 258v,32,onaboard,1024,1,16,8,8,8,1.798913043,150,-13.04347826,78,oled,7,1.72826087,9.75,2.687717391,8,2,6,ÄíÆÎ,0,0,0,,
84,https://www.coupang.com/vp/products/8620630703?itemId=25010066108&vendorItemId=92015050332,hp,"³ëÆ®ºÏ 14, i5 1334u",1,,40,,,i5 1334u,8,single,256,0,14,3,3,3,-3.201086957,140,4.058272633,41,ips,3,-2.27173913,4.32,-2.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
73,https://www.coupang.com/vp/products/8099175514?itemId=22901913166&vendorItemId=89936416843,hp,"³ëÆ®ºÏ 15, r5 7430u",1,,42,,,r5 7430u,8,single,256,0,15.6,3,3,3,-3.201086957,159,-3.582603634,41,ips,3,-2.27173913,4.21,-2.852282609,9.75,0.75,9,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
88,https://www.coupang.com/vp/products/8648574647?itemId=25102068021&vendorItemId=92104783093,hp,"¿È´ÏºÏ 3 14, i3 1315u",1,,40,,,i3 1315u,8,dual,256,1,14,3,3,3,-3.201086957,140,4.058272633,41,ips,3,-2.27173913,4.32,-2.742282609,9.5,0,9.5,ÄíÆÎ,0,0,0,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
