id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
19,https://www.coupang.com/vp/products/8673080963,le,"요가 7 2in1 14ill10, u5 258v",1,,1750000,1488870,-14.9,u5 258v,32,onboard,2,1,14,8,8,138,70,oled,7,9.66,7.25,1.25,6,쿠팡,1,0,0,,2026-03-07 13:36
18,https://www.coupang.com/vp/products/7955896989?itemId=21980916755&vendorItemId=89028561695,le,"요가북  9i 13imu9, u7 155u",1,,2500000,2249000,-10,u7 155u,32,onboard,4,1,13.3,8,8,134,80,oled,4,8.42,9.5,1.25,8.25,쿠팡,1,0,3,,2026-03-07 13:55
20,https://www.coupang.com/vp/products/8673080963,le,"요가 7 2in1 14ill10, u5 228v",1,,1650000,1488870,-9.8,u5 228v,32,onboard,2,1,14,8,8,138,70,oled,6,9.66,7.25,1.25,6,쿠팡,1,0,0,,2026-03-07 13:32
5,https://www.coupang.com/vp/products/8734831107,hp,"옴니북 x 플립 14, u7 258v oled",1,,1500000,1389000,-7.4,u7 258v,32,onboard,2,1,14,8,8,139,59,oled,7,8.14,7.25,1.25,6,쿠팡,1,0,1,,2026-03-07 11:36
32,https://www.coupang.com/vp/products/8952483892?itemId=26187891331&vendorItemId=93167335508,as,"비보북 s16, u5 225h",1,,1030000,986415,-4.2,u5 225h,16,single,2,1,16,8,5,170,70,oled,6,7.57,9.25,1.25,8,쿠팡,0,0,0,,2026-03-07 9:36
77,https://www.coupang.com/vp/products/8849748058,le,"아이디어패드 슬림5 14akp10, r5 340",1,,1050000,1023190,-2.6,r5 340,24,dual,2,1,14,8,5,139,60,oled,4,7.06,8.5,0.5,8,쿠팡,0,0,0,,2026-03-07 12:51
,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,ac,"스위프트 라이트 16, u5 115u",1,,750000,735050,-2,u5 115u,16,onboard,2,1,16,3,5,119,58,ips,4,6.44,9,0.75,,쿠팡,0,0,,,2026-03-07 9:06
64,https://www.coupang.com/vp/products/8743086948,le,"아이디어패드 슬림3 15ahp10 oled, r5 8640hs",1,,750000,735650,-1.9,r5 8640hs,8,single,1,0,15.1,8,8,151,60,oled,5,5.58,10.75,2,8.75,쿠팡,0,0,0,램 장착 권장,2026-03-07 12:33
21,https://www.coupang.com/vp/products/8670590507,le,"요가 슬림7 14ill10, u5 228v",1,,1550000,1539600,-0.7,u5 228v,32,onboard,2,1,14,8,8,119,70,oled,6,9.66,7.25,1.25,6,쿠팡,0,0,0,,2026-03-07 13:45
26,https://www.coupang.com/vp/products/8734831107,hp,"옴니북 x 플립 14, u5 226v oled",1,,1300000,1291770,-0.6,u5 226v,16,onboard,2,1,14,8,8,139,59,oled,6,8.14,7.25,1.25,6,쿠팡,1,0,1,,2026-03-07 11:25
6,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"옴니북 울트라 플립 14, u7 258v",1,,1900000,1896249,-0.2,u7 258v,32,onboard,4,1,14,8,8,135,64,oled,7,8.83,7.25,1.25,6,쿠팡,1,0,3,,2026-03-07 11:47
