id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
22.0,https://www.coupang.com/vp/products/8906849720?itemId=26014107763&vendorItemId=92995948658,ac,"아스파이어 14, u5 226v",1.0,1.0,770000.0,1044050.0,,u5 226v,16.0,onboard,2.0,1.0,14.0,3.0,5.0,4.0,-2.2,140.0,65.0,ips,6.0,0.73,10.83,3.77,6.0,0.0,6.0,쿠팡,0.0,0.0,0.0,,2026-03-10 03:36
4.0,https://www.coupang.com/vp/products/8563924172,ac,"스위프트 14, u7 258v",1.0,,1400000.0,1473430.0,5.2,u7 258v,32.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,126.0,65.0,oled,7.0,1.73,8.97,1.91,7.25,1.25,6.0,쿠팡,0.0,0.0,0.0,,2026-03-10 03:42
40.0,https://www.coupang.com/vp/products/8906849724,ac,"스위프트 고 14, u5 225h",1.0,,1050000.0,1393460.0,32.7,u5 225h,16.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,130.0,63.0,oled,6.0,0.73,6.81,-0.25,9.25,1.25,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 03:48
79.0,https://www.coupang.com/vp/products/8869135849,ac,"스위프트 고 16, r5 340",1.0,,1220000.0,1599800.0,31.1,r5 340,16.0,onboard,4.0,1.0,16.0,8.0,8.0,8.0,1.8,150.0,75.0,oled,4.0,-1.27,7.5,0.44,10.0,2.0,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 03:53
54.0,https://www.coupang.com/vp/products/8869191358,ac,"스위프트 고 16, r7 350",1.0,,1320000.0,2159800.0,63.6,r7 350,32.0,onboard,4.0,1.0,16.0,8.0,8.0,8.0,1.8,150.0,75.0,oled,6.0,0.73,7.5,0.44,10.0,2.0,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 03:59
11.0,https://www.coupang.com/vp/products/9089345677,ac,"스위프트 엣지 14, u7 258v",1.0,,1750000.0,2100000.0,20.0,u7 258v,32.0,onboard,2.0,1.0,14.0,9.0,8.0,8.5,2.3,99.0,65.0,oled,7.0,1.73,8.97,1.91,7.25,1.25,6.0,쿠팡,0.0,0.0,0.0,,2026-03-10 04:05
42.0,https://www.coupang.com/vp/products/8987732920,ac,"아스파이어 고 14, u5 125h",1.0,,700000.0,1149800.0,64.3,u5 125h,16.0,onboard,2.0,1.0,14.0,6.0,5.0,5.5,-0.7,147.0,54.0,ips,6.0,0.73,6.17,-0.89,8.75,0.0,8.75,쿠팡,0.0,0.0,0.0,,2026-03-10 04:11
89.0,https://www.coupang.com/vp/products/8773621852,ac,"아스파이어 라이트 16, i3 1305u",1.0,,420000.0,490050.0,16.7,i3 1305u,8.0,single,2.0,0.0,16.0,3.0,5.0,4.0,-2.2,170.0,58.0,ips,2.0,-3.27,5.66,-1.4,10.25,0.75,9.5,쿠팡,0.0,0.0,0.0,램 장착 권장,2026-03-10 04:16
,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,ac,"스위프트 라이트 16, u5 115u",1.0,,750000.0,1115050.0,48.7,u5 115u,16.0,onboard,2.0,1.0,16.0,3.0,5.0,4.0,-2.2,119.0,58.0,ips,4.0,-1.27,6.44,-0.62,9.0,0.75,,쿠팡,0.0,0.0,,,2026-03-10 04:22
83.0,https://www.coupang.com/vp/products/8708067859,ac,"아스파이어 라이트 16, i5 1335u",1.0,,520000.0,697550.0,34.1,i5 1335u,8.0,single,2.0,0.0,16.0,3.0,5.0,4.0,-2.2,170.0,58.0,ips,3.0,-2.27,5.66,-1.4,10.25,0.75,9.5,쿠팡,0.0,0.0,0.0,램 장착 권장,2026-03-10 04:27
49.0,https://www.coupang.com/vp/products/8633389205?itemId=25048205481&vendorItemId=92052723728,as,"비보북 15, r7 5825u",1.0,1.0,450000.0,571330.0,,r7 5825u,8.0,single,2.0,0.0,15.6,2.0,3.0,2.5,-3.7,170.0,42.0,ips,3.0,-2.27,4.31,-2.75,9.75,0.75,9.0,쿠팡,0.0,0.0,0.0,램 장착 권장,2026-03-10 04:33
85.0,https://www.coupang.com/vp/products/8982838372?itemId=26302272690&vendorItemId=93279989300,as,"비보북 16, i5 120u",1.0,,500000.0,555680.0,11.1,i5 120u,8.0,single,2.0,0.0,16.0,3.0,3.0,3.0,-3.2,188.0,42.0,ips,3.0,-2.27,4.1,-2.96,10.25,0.75,9.5,쿠팡,0.0,0.0,0.0,램 장착 권장,2026-03-10 04:39
30.0,https://www.coupang.com/vp/products/8593723288?itemId=24917488765&vendorItemId=91923824133,as,"비보북 16, u5 225h",1.0,,700000.0,891780.0,27.4,u5 225h,16.0,dual,2.0,1.0,16.0,3.0,5.0,4.0,-2.2,189.0,42.0,ips,6.0,0.73,4.8,-2.26,8.75,0.75,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 04:44
61.0,https://www.coupang.com/vp/products/8620714025,as,"비보북 18, r7 260",1.0,,900000.0,917760.0,2.0,r7 260,16.0,onabord,2.0,0.0,18.4,6.0,6.0,6.0,-0.2,260.0,70.0,ips,6.0,0.73,7.37,0.31,9.5,0.75,8.75,쿠팡,0.0,0.0,0.0,,2026-03-10 04:50
82.0,https://www.coupang.com/vp/products/8814642136?itemId=25682243168&vendorItemId=92671562598,as,"비보북 s16, i5 13420h",1.0,,770000.0,908300.0,18.0,i5 13420h,16.0,single,2.0,1.0,16.0,8.0,5.0,6.5,0.3,170.0,70.0,oled,2.0,-3.27,5.96,-1.1,11.75,1.25,10.5,쿠팡,0.0,0.0,0.0,,2026-03-10 04:55
52.0,https://www.coupang.com/vp/products/8941702848?itemId=26149371639&vendorItemId=93129360141,as,"비보북 s16, r7 350",1.0,,1100000.0,1125330.0,2.3,r7 350,16.0,single,2.0,1.0,16.0,8.0,5.0,6.5,0.3,170.0,70.0,oled,6.0,0.73,7.57,0.51,9.25,1.25,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 05:01
32.0,https://www.coupang.com/vp/products/8952483892?itemId=26187891331&vendorItemId=93167335508,as,"비보북 s16, u5 225h",1.0,,1030000.0,1060560.0,3.0,u5 225h,16.0,single,2.0,1.0,16.0,8.0,5.0,6.5,0.3,170.0,70.0,oled,6.0,0.73,7.57,0.51,9.25,1.25,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 05:06
14.0,https://www.coupang.com/vp/products/8533865160?itemId=24703151720&vendorItemId=91712741111,as,"비보북 s16, u7 255h",1.0,1.0,1130000.0,1699050.0,,u7 255h,16.0,onabord,4.0,1.0,16.0,8.0,8.0,8.0,1.8,150.0,75.0,oled,7.0,1.73,7.5,0.44,10.0,2.0,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 05:12
44.0,https://www.coupang.com/vp/products/8399146047,as,"비보북s 14, r9 hx370",1.0,,1250000.0,1950400.0,56.0,r9 hx370,24.0,onabord,2.0,0.0,14.0,8.0,5.0,6.5,0.3,130.0,75.0,oled,7.0,1.73,8.82,1.76,8.5,0.5,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 05:18
15.0,https://www.coupang.com/vp/products/8539448432?itemId=24722655866&vendorItemId=91731863931,as,"젠북 14, u7 255h",1.0,,1230000.0,1501030.0,22.0,u7 255h,16.0,onaboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,128.0,75.0,oled,7.0,1.73,8.11,1.05,9.25,1.25,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 05:23
16.0,https://www.coupang.com/vp/products/8663359080?itemId=25144221332&vendorItemId=92143117148,as,"젠북 14, u7 255h",2.0,1.0,1370000.0,1649000.0,,u7 255h,32.0,onaboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,128.0,75.0,oled,7.0,1.73,8.11,1.05,9.25,1.25,8.0,쿠팡,0.0,0.0,0.0,,2026-03-10 05:29
