id,link,brand,name,variant,remark,sold_out,not_selling,benefit_count,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,display,weight,battery,screen_type,graphic,w_per_h,market,lasust_update,battery_time,battery_time_centered,display_centered,weight_diff_pct,graphic_centered,last_update
4,https://www.coupang.com/vp/products/8773621852?itemId=25522224881&vendorItemId=92514067366,acer,"아스파이어 라이트 16, i3 1305u",1,램 장착 권장,,0,0,48,52.155,8.7,i3 1305u,8,single,512,0,16,4,170,58,ips,2,10.25,쿠팡,,5.658536585,-1.780584043,-2.525316456,2.409638554,-3.924050633,2026-03-23 18:30
5,https://www.coupang.com/vp/products/8708067859?itemId=25326317735&vendorItemId=92321198996,acer,"아스파이어 라이트 16, i5 1335u",1,램 장착 권장,,0,0,55,74.48,35.4,i5 1335u,8,single,512,1,16,4,170,58,ips,3,10.25,쿠팡,,5.658536585,-1.780584043,-2.525316456,2.409638554,-2.924050633,2026-03-23 18:37
3,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,acer,"스위프트 라이트 16, u5 115u",1,,,0,0,75,87.9,17.2,u5 115u,16,onboard,512,1,16,4,119,58,ips,4,9,쿠팡,,6.444444444,-0.994676184,-2.525316456,-28.31325301,-1.924050633,2026-03-23 18:43
2,https://www.coupang.com/vp/products/8906849724,acer,"스위프트 고 14, u5 225h",1,,,0,0,110,151.15,37.4,u5 225h,16,onboard,512,1,14,8,130,63,oled,7,9.25,쿠팡,,6.810810811,-0.628309818,1.474683544,-1.140684411,1.075949367,2026-03-23 18:50
1,https://www.coupang.com/vp/products/8563924172?itemId=24803637451&vendorItemId=91811310020,acer,"스위프트 14, u7 258v",1,,,0,0,149,183.9,23.4,u7 258v,32,onboard,512,1,14,8,126,65,oled,8,7.25,쿠팡,,8.965517241,1.526396613,1.474683544,-4.182509506,2.075949367,2026-03-23 18:56
7,https://www.coupang.com/vp/products/8982838372?itemId=26302272690&vendorItemId=93279989300,ASUS,"비보북 16, i5 120u",1,램 장착 권장,,0,0,53,59.57,12.4,i5 120u,8,single,512,0,16,4,188,42,ips,3,10.25,쿠팡,,4.097560976,-3.341559653,-2.525316456,13.25301205,-2.924050633,2026-03-23 19:03
10,https://www.coupang.com/vp/products/8814642136?itemId=25682243168&vendorItemId=92671562598,ASUS,"비보북 s16, i5 13420h",1,,,0,0,82,91.4,11.5,i5 13420h,16,single,512,1,16,6.5,170,70,oled,2,11.75,쿠팡,,5.957446809,-1.48167382,-0.025316456,2.409638554,-3.924050633,2026-03-23 19:09
9,https://www.coupang.com/vp/products/8620714025,ASUS,"비보북 18, r7 260",1,,,0,0,96,103.9,8.2,r7 260,16,single,512,0,18.4,6,260,70,ips,7,9.5,쿠팡,,7.368421053,-0.070699576,-0.525316456,25.36162006,1.075949367,2026-03-23 19:16
11,https://www.coupang.com/vp/products/8941702848?itemId=26149371639&vendorItemId=93129360141,ASUS,"비보북 s16, r7 350",1,,,0,0,117,117.9,0.8,r7 350,16,single,512,1,16,6.5,170,70,oled,7,9.25,쿠팡,,7.567567568,0.128446939,-0.025316456,2.409638554,1.075949367,2026-03-23 19:22
8,https://www.coupang.com/vp/products/8593723288?itemId=24917488765&vendorItemId=91923824133,ASUS,"비보북 16, u5 225h",1,,,0,0,74,87.4,18.1,u5 225h,16,single,512,1,16,4,189,42,ips,7,8.75,쿠팡,,4.8,-2.639120629,-2.525316456,13.85542169,1.075949367,2026-03-23 19:29
12,https://www.coupang.com/vp/products/8952483892?itemId=26187891331&vendorItemId=93167335508,ASUS,"비보북 s16, u5 225h",1,,,0,0,110,104.9,-4.6,u5 225h,16,single,512,1,16,6.5,170,70,oled,7,9.25,쿠팡,,7.567567568,0.128446939,-0.025316456,2.409638554,1.075949367,2026-03-23 19:36
15,https://www.coupang.com/vp/products/8410862361?itemId=24318990059&vendorItemId=91334761271,ASUS,"젠북 s14, u5 226v",1,그레이,,0,0,160,179.9,12.4,u5 226v,16,onaboard,512,1,14,8,120,72,oled,7,7.25,쿠팡,,9.931034483,2.491913854,1.474683544,-8.745247148,1.075949367,2026-03-23 19:42
16,https://www.coupang.com/vp/products/8410863709?itemId=24318995803&vendorItemId=91334766593,ASUS,"젠북 s14, u5 226v",2,화이트,,0,0,160,179.9,12.4,u5 226v,16,onaboard,512,1,14,8,120,72,oled,7,7.25,쿠팡,,9.931034483,2.491913854,1.474683544,-8.745247148,1.075949367,2026-03-23 19:49
13,https://www.coupang.com/vp/products/8539448432?itemId=24722655866&vendorItemId=91731863931,ASUS,"젠북 14, u7 255h",1,,,0,0,131,159.9,22.1,u7 255h,16,onaboard,512,1,14,8,128,75,oled,8,9.25,쿠팡,,8.108108108,0.668987479,1.474683544,-2.661596958,2.075949367,2026-03-23 19:55
14,https://www.coupang.com/vp/products/8663359080?itemId=25144221332&vendorItemId=92143117148,ASUS,"젠북 14, u7 255h",2,,,0,0,146,173.9,19.1,u7 255h,32,onaboard,512,1,14,8,128,75,oled,8,9.25,쿠팡,,8.108108108,0.668987479,1.474683544,-2.661596958,2.075949367,2026-03-23 20:02
17,https://www.coupang.com/vp/products/8544270516?itemId=24738885102&vendorItemId=91747617943,ASUS,"젠북 s16, u7 258v",1,,,0,0,203,259.98,28.1,u7 258v,32,onaboard,1024,1,16,8,150,78,oled,8,8,쿠팡,,9.75,2.310879371,1.474683544,-9.638554217,2.075949367,2026-03-23 20:08
6,https://www.coupang.com/vp/products/8579806173?itemId=24867355094&vendorItemId=91874318252,ASUS,"[ARM] 젠북 A14, X1-26",1,,,0,0,110,106.9,-2.8,x1-26,16,onboard,512,1,14,6,90,48,ips,3,5.5,쿠팡,,8.727272727,1.288152099,-0.525316456,-31.55893536,-2.924050633,2026-03-23 20:15
23,https://www.coupang.com/vp/products/8648574647?itemId=25102068021&vendorItemId=92104783093,HP,"옴니북 3 14, i3 1315u",1,,,0,4,45,57.9,28.7,i3 1315u,8,dual,256,1,14,3,140,41,ips,3,9.5,쿠팡,,4.315789474,-3.123331155,-3.525316456,6.463878327,-2.924050633,2026-03-23 20:21
19,https://www.coupang.com/vp/products/8620630703?itemId=25010066108&vendorItemId=92015050332,HP,"노트북 14, i5 1334u",1,램 장착 권장,,0,0,45,61.9,37.6,i5 1334u,8,single,256,0,14,3,140,41,ips,3,9.5,쿠팡,,4.315789474,-3.123331155,-3.525316456,6.463878327,-2.924050633,2026-03-23 20:28
25,https://www.coupang.com/vp/products/8740557641?itemId=25402248933&vendorItemId=92395806929,HP,"옴니북 5 nagi 16, r5 340",1,,,0,0,78,113.905,46,r5 340,16,onboard,512,1,16,4,179,43,ips,5,8.75,쿠팡,,4.914285714,-2.524834914,-2.525316456,7.831325301,-0.924050633,2026-03-23 20:35
