id,link,brand,name,variant,remark,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,display,weight,battery,screen_type,graphic,w_per_h,market,last_update,battery_time,battery_time_centered,display_centered,weight_diff_pct,graphic_centered,benefit_count
4,https://www.coupang.com/vp/products/8773621852?itemId=25522224881&vendorItemId=92514067366,acer,"아스파이어 라이트 16, i3 1305U",1,램 장착 권장,,0,48,54.9,14.4,i3 1305u,8,single,512,0,16.0,4.0,170,58,ips,2,10.25,쿠팡,2026-03-30 00:30,5.658536585,-1.751579406,-2.451388889,2.409638554,-3.902777778,0.0
5,https://www.coupang.com/vp/products/8708067859?itemId=25326317735&vendorItemId=92321198996,acer,"아스파이어 라이트 16, i5 1335U",1,램 장착 권장,,0,55,78.4,42.5,i5 1335u,8,single,512,1,16.0,4.0,170,58,ips,3,10.25,쿠팡,2026-03-30 00:37,5.658536585,-1.751579406,-2.451388889,2.409638554,-2.902777778,0.0
3,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,acer,"스위프트 라이트 16, U5 115U",1,,,0,75,104.9,39.9,u5 115u,16,onboard,512,1,16.0,4.0,119,58,ips,4,9.0,쿠팡,2026-03-30 00:43,6.444444444,-0.965671547,-2.451388889,-28.31325301,-1.902777778,0.0
2,https://www.coupang.com/vp/products/8906849724,acer,"스위프트 고 14, U5 225H",1,,,0,110,151.15,37.4,u5 225h,16,onboard,512,1,14.0,8.0,130,63,oled,7,9.25,쿠팡,2026-03-30 00:50,6.810810811,-0.599305181,1.548611111,-1.140684411,1.097222222,0.0
1,https://www.coupang.com/vp/products/8563924172?itemId=24803637451&vendorItemId=91811310020,acer,"스위프트 14, U7 258V",1,,,0,149,184.654,23.9,u7 258v,32,onboard,512,1,14.0,8.0,126,65,oled,8,7.25,쿠팡,2026-03-30 00:57,8.965517241,1.55540125,1.548611111,-4.182509506,2.097222222,0.0
7,https://www.coupang.com/vp/products/8982838372?itemId=26302272690&vendorItemId=93279989300,asus,"비보북 16, i5 120U",1,램 장착 권장,,0,53,64.9,22.5,i5 120u,8,single,512,0,16.0,4.0,188,42,ips,3,10.25,쿠팡,2026-03-30 01:03,4.097560976,-3.312555016,-2.451388889,13.25301205,-2.902777778,0.0
10,https://www.coupang.com/vp/products/8814642136?itemId=25682243168&vendorItemId=92671562598,asus,"비보북 S16, i5 13420H",1,,,0,82,96.4,17.6,i5 13420h,16,single,512,1,16.0,6.5,170,70,oled,2,11.75,쿠팡,2026-03-30 01:10,5.957446809,-1.452669183,0.048611111,2.409638554,-3.902777778,0.0
9,https://www.coupang.com/vp/products/8620714025,asus,"비보북 18, R7 260",1,,,0,96,103.9,8.2,r7 260,16,single,512,0,18.4,6.0,260,70,ips,7,9.5,쿠팡,2026-03-30 01:17,7.368421053,-0.041694939,-0.451388889,25.36162006,1.097222222,0.0
11,https://www.coupang.com/vp/products/8941702848?itemId=26149371639&vendorItemId=93129360141,asus,"비보북 S16, R7 350",1,,,0,117,124.9,6.8,r7 350,16,single,512,1,16.0,6.5,170,70,oled,7,9.25,쿠팡,2026-03-30 01:23,7.567567568,0.157451576,0.048611111,2.409638554,1.097222222,0.0
8,https://www.coupang.com/vp/products/8593723288?itemId=24917488765&vendorItemId=91923824133,asus,"비보북 16, U5 225H",1,,,0,74,102.4,38.4,u5 225h,16,single,512,1,16.0,4.0,189,42,ips,7,8.75,쿠팡,2026-03-30 01:30,4.8,-2.610115991,-2.451388889,13.85542169,1.097222222,0.0
