id,link,brand,name,remark,variant,sold_out,not_selling,price_reference,price_current,discount_rate,cpu,gpu,ram,ram_type,ssd,window,screen_size,portability,display,cpu_style,weight,battery,,market,last_update
,https://www.coupang.com/vp/products/8966522013?itemId=26241074138&vendorItemId=93219739755,HP,"¿À¸à ¸Æ½º 16, U7 255HX/5060 OLED",,,,0,,,,U7 255HX,5060,32,dual,1024,1,16,2,9,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/7685542307?itemId=19025582401&vendorItemId=86149803397,HP,"ºòÅÍ½º 16, I5 13500HX/4060",,,,0,,,,I5 13500HX,4060,16,dual,512,0,16,3,4,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9167902430?itemId=27014590927&vendorItemId=93983227395,ASUS,"TUF F16, I5 14450HX/5050",,,,0,,,,I5 14450HX,5050,16,single,512,0,14,5,4,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8677554106?itemId=25190830588&vendorItemId=92187575667,HP,"ºòÅÍ½º 16, I5 14450HX/4060",,,,0,,,,I5 14450HX,4060,16,dual,512,0,14,3,4,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9325824364?itemId=27736313139&vendorItemId=94697490099,HP,"¿À¸à 15, I5 14450HX/5060",,,,0,,,,I5 14450HX,5060,24,single,1024,0,14,4,6,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8835024384?itemId=25745774086&vendorItemId=92734130287,ASUS,"TUF F16, I7 14650HX/5060 WQXGA",,,,0,,,,I7 14650HX,5060,16,single,512,0,14,5,6,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8982779083?itemId=26301942628&vendorItemId=93279668232,ASUS,"TUF F16, I7 14650HX/5070 WQXGA",,,,0,,,,I7 14650HX,5070,16,single,512,0,14,5,6,1,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8825969244?itemId=25789822919&vendorItemId=92777600085,msi,"¼Òµå GF76 17.3, I7 14650HX/5060",,,,0,,,,I7 14650HX,5060,16,dual,512,0,14,1,8,1,270,75,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9018633339?itemId=26440741094&vendorItemId=93416362417,Lenovo,"LOQ 15AHP10, R7 250/5060",,,,0,,,,R7 250,5060,16,single,512,0,15.6,2,3,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9205272622?itemId=27183962156&vendorItemId=94151511891,acer,"´ÏÆ®·Î V 16 ½½¸², R7 260/5060",,,,0,,,,R7 260,5060,16,single,512,0,16,6,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8852815391?itemId=25809161282&vendorItemId=92796439383,ASUS,"TUF A14, R7 260/5060",512GB,1,,0,,,,R7 260,5060,32,onboard,512,0,14,9,6,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8952675716?itemId=26188751314&vendorItemId=93168176760,ASUS,"TUF A14, R7 260/5060",1TB,2,,0,,,,R7 260,5060,32,onboard,1024,0,14,9,6,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8853447738?itemId=25811877071&vendorItemId=92799026566,ASUS,"TUF A16, R7 260/5050",,,,0,,,,R7 260,5050,16,single,512,0,16,6,4,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8774172630?itemId=25524523223&vendorItemId=92516319080,ASUS,"TUF A16, R7 260/5060",,,,0,,,,R7 260,5060,16,single,512,0,16,6,4,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8783926143?itemId=25559511189&vendorItemId=92550827920,ASUS,"TUF A16, R7 260/5060 WQXGA",,,,0,,,,R7 260,5060,16,single,512,0,16,6,6,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8899002146?itemId=25984595201&vendorItemId=92967046632,ASUS,"TUF A18, R7 260/5050",,,,0,,,,R7 260,5050,16,single,512,0,18,1,4,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8773992950?itemId=25523735423&vendorItemId=92515547957,ASUS,"TUF A18, R7 260/5060",,,,0,,,,R7 260,5060,16,single,512,0,18,1,4,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8835398704?itemId=25746757768&vendorItemId=92735093516,ASUS,"TUF A18, R7 260/5070",,,,0,,,,R7 260,5070,16,single,512,0,18,1,4,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8960448289,Lenovo,"¸®Àü 5 15AHP10, R7 260/5060",,,,0,,,,R7 260,5060,24,single,512,0,15.1,6,8,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9074269633?itemId=26652309626&vendorItemId=93624824750,acer,"´ÏÆ®·Î 16 ½½¸², R7 350/5070",,,,0,,,,R7 350,5070,32,dual,1024,0,16,5,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9234391064?itemId=27300437532&vendorItemId=94266985637,acer,"´ÏÆ®·Î 18, R7 350/5060",,,,0,,,,R7 350,5060,32,dual,1024,0,18,1,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9200481145?itemId=27164469297&vendorItemId=94132178204,acer,"´ÏÆ®·Î 18, R7 350/5070",,,,0,,,,R7 350,5070,32,dual,1024,0,18,1,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8899002151?itemId=25984595232&vendorItemId=92967046664,ASUS,"TUF A14, R7 350/5060",,,,0,,,,R7 350,5060,32,onboard,1024,0,14,9,6,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8826112134?itemId=25719163101&vendorItemId=92707939317,HP,"¿À¸à 16, R7 350/5060",,,,0,,,,R7 350,5060,32,dual,512,0,16,3,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8941557079?itemId=26148695560&vendorItemId=93128696273,HP,"¿À¸à 17, R7 350/5060",,,,0,,,,R7 350,5060,32,dual,512,0,17.3,1,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8771136679?itemId=25513329531&vendorItemId=92505305899,HP,"¿À¸à ¸Æ½º 16, R7 350/5070 Ti",,,,0,,,,R7 350,5070 Ti,32,dual,1024,1,16,1,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/9018648022,Lenovo,"¸®Àü 5 15AKP10, R7 350/5070",,,,0,,,,R7 350,5070,32,dual,1024,0,15.1,6,8,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8826133206?itemId=25719248433&vendorItemId=92708022379,HP,"¿À¸à ¸Æ½º 16, R9 375HX/5060",,,,0,,,,R9 375HX,5060,32,dual,512,1,16,2,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8763580498?itemId=25484221675&vendorItemId=92476480219,HP,"¿À¸à ¸Æ½º 16, R9 375HX/5080",,,,0,,,,R9 375HX,5080,32,dual,1024,1,16,1,7,0,,,,ÄíÆÎ,
,https://www.coupang.com/vp/products/8775686288?itemId=25530075131&vendorItemId=92521813430,ASUS,"TUF A16, R9 8940HX/5070 WQXGA",,,,0,,,,R9 8940HX,5070,16,single,512,0,16,5,6,1,,,,ÄíÆÎ,
