id,link,brand,name,variant,variant_remark,sold_out,on_crawl,is_active,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,display,weight,battery,screen_type,graphic,w_per_h,market,last_update,battery_time,battery_time_centered,display_centered,weight_diff_pct,graphic_centered,benefit_count
18,https://item.gmarket.co.kr/Item?goodscode=4330513464,asus,"비보북 S16, R7 350",1,,,0,0,140,,-100.0,r7 350,16,onboard,512,1,16.0,8.0,150,75,oled,7,9.5,g마켓,,7.894736842105263,0.4556162134251682,1.4746835443037973,-9.638554216867462,1.075949367088608,
65,https://item.gmarket.co.kr/Item?goodscode=4623684498,lenovo,"아이디어패드 슬림3 15ARP10 OLED, R5 7533HS",2,,,0,0,72,,-100.0,r5 7533hs,8,single,256,1,15.1,8.0,151,60,oled,5,11.0,g마켓,,5.454545454545454,-1.9845751741346405,1.4746835443037973,0.3488951653098695,-0.924050632911392,
66,https://item.gmarket.co.kr/Item?goodscode=4572335752,lenovo,"아이디어패드 슬림5 16IAH10, U5 225H",1,,,0,0,125,,-100.0,u5 225h,32,dual,512,0,16.0,8.0,169,60,oled,7,10.0,g마켓,,6.0,-1.4391206286800946,1.4746835443037973,1.8072289156626482,1.075949367088608,
67,https://item.gmarket.co.kr/Item?goodscode=4348723218,lenovo,"요가 7 2in1 14ILL10, U5 228V",3,"씨쉘, 512GB",,0,0,160,,-100.0,u5 228v,32,onboard,512,1,14.0,8.0,138,70,oled,7,7.25,g마켓,,9.655172413793103,2.2160517851130086,1.4746835443037973,4.942965779467684,1.075949367088608,
76,https://item.gmarket.co.kr/Item?goodscode=3576393966,msi,"프레스티지 16, U7 155H",1,후면포트,,0,0,130,,-100.0,U7 155H,16,onboard,512,0,16.0,8.0,150,100,oled,7,10.25,g마켓,,9.75609756097561,2.316976932295515,1.4746835443037973,-9.638554216867462,1.075949367088608,
77,https://item.gmarket.co.kr/Item?goodsCode=3647883984,samsung,"갤럭시북 4, i3 1315U",1,,,0,0,70,,-100.0,i3 1315u,16,onboard,256,0,15.6,3.0,155,54,ips,3,10.25,g마켓,,5.2682926829268295,-2.170827945753265,-3.5253164556962027,-2.5769956002513936,-2.924050632911392,
79,https://item.gmarket.co.kr/Item?goodscode=4563773737,samsung,"갤럭시북 5프로 NT960XHZ-A51A, U5 226V",1,,,0,0,175,,-100.0,u5 226v,16,onboard,256,1,16.0,8.0,156,76,oled,7,7.5,g마켓,,10.133333333333333,2.6942127046532383,1.4746835443037973,-6.024096385542165,1.075949367088608,
78,https://smartstore.naver.com/SAMSUNG_mall/products/11256046363,samsung,"갤럭시북 5프로 NT940XHA-K51A, U5 226V",1,,,0,0,165,,-100.0,u5 226v,16,onboard,256,1,14.0,8.0,123,63,oled,7,6.75,네이버,,9.333333333333334,1.8942127046532393,1.4746835443037973,-6.463878326996195,1.075949367088608,
64,www.Lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx/thinkpad-x13-gen-6-13-inch-intel/21rk1wwkr3,lenovo,"씽크패드 X13, U5 225H",1,,,0,0,160,,-100.0,u5 225H,32,onboard,256,0,13.3,6.0,98,55,ips,7,6.0,레노버,,9.166666666666666,1.7275460379865715,-0.5253164556962027,-17.940129788570232,1.075949367088608,
63,www.Lenovo.com/kr/ko/p/laptops/thinkpad/thinkpade/Lenovo-thinkpad-e16-gen-3-16-inch-intel/22ay1wwkr1,lenovo,"씽크패드 E16 gen3, U5 226V",1,,,0,0,125,,-100.0,u5 226v,16,onboard,256,0,16.0,7.0,170,64,ips,7,7.5,레노버,,8.533333333333333,1.0942127046532386,0.47468354430379733,2.409638554216869,1.075949367088608,
61,www.Lenovo.com/kr/ko/p/laptops/thinkpad/thinkpadx9/thinkpad-x9-aura-edition-15-inch-intel/21q61wwkr3,lenovo,"씽크패드 X9-15 gen1, U5 228V",1,,,0,0,195,,-100.0,u5 228v,32,onboard,512,0,15.3,8.0,140,80,oled,7,7.5,레노버,,10.666666666666666,3.2275460379865715,1.4746835443037973,-9.046613610524616,1.075949367088608,
62,www.Lenovo.com/kr/ko/p/laptops/thinkpad/thinkpade/thinkpad-e14-gen-7-14-inch-intel-laptop/21u21wwkr2,lenovo,"씽크패드 E14 gen7, U5 228V",1,,,0,0,135,,-100.0,u5 228v,32,onboard,512,0,14.0,7.0,140,64,ips,7,6.75,레노버,,9.481481481481481,2.0423608528013864,0.47468354430379733,6.463878326996195,1.075949367088608,
4,https://www.coupang.com/vp/products/8773621852?itemId=25522224881&vendorItemId=92514067366,acer,"아스파이어 라이트 16, i3 1305U",1,,1.0,1,1,48,,,i3 1305u,8,single,512,0,16.0,4.0,170,58,ips,2,10.25,쿠팡,,5.658536585365853,-1.7805840433142412,-2.5253164556962027,2.409638554216869,-3.924050632911392,
5,https://www.coupang.com/vp/products/8708067859?itemId=25326317735&vendorItemId=92321198996,acer,"아스파이어 라이트 16, i5 1335U",1,,,1,1,55,71.4,29.8,i5 1335u,8,single,512,1,16.0,4.0,170,58,ips,3,10.25,쿠팡,2026-04-26 00:05,5.658536585365853,-1.7805840433142412,-2.5253164556962027,2.409638554216869,-2.924050632911392,0.0
3,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,acer,"스위프트 라이트 16, U5 115U",1,,1.0,1,1,75,,,u5 115u,16,onboard,512,1,16.0,4.0,119,58,ips,4,9.0,쿠팡,,6.444444444444445,-0.99467618423565,-2.5253164556962027,-28.313253012048193,-1.924050632911392,
2,https://www.coupang.com/vp/products/8906849724,acer,"스위프트 고 14, U5 225H",1,,,1,1,110,151.15,37.4,u5 225h,16,onboard,512,1,14.0,8.0,130,63,oled,7,9.25,쿠팡,2026-04-26 00:12,6.8108108108108105,-0.6283098178692841,1.4746835443037973,-1.1406844106463865,1.075949367088608,0.0
1,https://www.coupang.com/vp/products/8563924172?itemId=24803637451&vendorItemId=91811310020,acer,"스위프트 14, U7 258V",1,,1.0,1,1,149,,,u7 258v,32,onboard,512,1,14.0,8.0,126,65,oled,8,7.25,쿠팡,,8.96551724137931,1.526396612699215,1.4746835443037973,-4.182509505703422,2.075949367088608,
7,https://www.coupang.com/vp/products/8982838372?itemId=26302272690&vendorItemId=93279989300,asus,"비보북 16, i5 120U",1,,,1,1,53,66.405,25.3,i5 120u,8,single,512,0,16.0,4.0,188,42,ips,3,10.25,쿠팡,2026-04-26 00:17,4.097560975609756,-3.3415596530703384,-2.5253164556962027,13.253012048192787,-2.924050632911392,0.0
10,https://www.coupang.com/vp/products/8814642136?itemId=25682243168&vendorItemId=92671562598,asus,"비보북 S16, i5 13420H",1,,,1,1,82,106.56,30.0,i5 13420h,16,single,512,1,16.0,6.5,170,70,oled,2,11.75,쿠팡,2026-04-26 00:23,5.957446808510638,-1.4816738201694566,-0.025316455696202667,2.409638554216869,-3.924050632911392,0.0
9,https://www.coupang.com/vp/products/8620714025,asus,"비보북 18, R7 260",1,,,1,1,96,109.9,14.5,r7 260,16,single,512,0,18.4,6.0,260,70,ips,7,9.5,쿠팡,2026-04-26 00:28,7.368421052631579,-0.07069957604851584,-0.5253164556962027,25.361620057859227,1.075949367088608,0.0
11,https://www.coupang.com/vp/products/8941702848?itemId=26149371639&vendorItemId=93129360141,asus,"비보북 S16, R7 350",1,,,1,1,117,129.9,11.0,r7 350,16,single,512,1,16.0,6.5,170,70,oled,7,9.25,쿠팡,2026-04-26 00:34,7.5675675675675675,0.12844693888747294,-0.025316455696202667,2.409638554216869,1.075949367088608,0.0
8,https://www.coupang.com/vp/products/8593723288?itemId=24917488765&vendorItemId=91923824133,asus,"비보북 16, U5 225H",1,,,1,1,74,106.742,44.2,u5 225h,16,single,512,1,16.0,4.0,189,42,ips,7,8.75,쿠팡,2026-04-26 00:38,4.8,-2.639120628680095,-2.5253164556962027,13.855421686746979,1.075949367088608,0.0
12,https://www.coupang.com/vp/products/8952483892?itemId=26187891331&vendorItemId=93167335508,asus,"비보북 S16, U5 225H",1,,,1,1,110,128.155,16.5,u5 225h,16,single,512,1,16.0,6.5,170,70,oled,7,9.25,쿠팡,2026-04-26 00:42,7.5675675675675675,0.12844693888747294,-0.025316455696202667,2.409638554216869,1.075949367088608,0.0
15,https://www.coupang.com/vp/products/8410862361?itemId=24318990059&vendorItemId=91334761271,asus,"젠북 S14, U5 226V",1,그레이,,1,1,160,179.9,12.4,u5 226v,16,onaboard,512,1,14.0,8.0,120,72,oled,7,7.25,쿠팡,2026-04-26 00:48,9.931034482758621,2.4919138540785264,1.4746835443037973,-8.745247148288968,1.075949367088608,0.0
16,https://www.coupang.com/vp/products/8410863709?itemId=24318995803&vendorItemId=91334766593,asus,"젠북 S14, U5 226V",2,화이트,,1,1,160,179.9,12.4,u5 226v,16,onaboard,512,1,14.0,8.0,120,72,oled,7,7.25,쿠팡,2026-04-26 00:53,9.931034482758621,2.4919138540785264,1.4746835443037973,-8.745247148288968,1.075949367088608,0.0
13,https://www.coupang.com/vp/products/8539448432?itemId=24722655866&vendorItemId=91731863931,asus,"젠북 14, U7 255H",1,,1.0,1,1,131,,,u7 255h,16,onaboard,512,1,14.0,8.0,128,75,oled,8,9.25,쿠팡,,8.108108108108109,0.6689874794280142,1.4746835443037973,-2.6615969581749113,2.075949367088608,
14,https://www.coupang.com/vp/products/8663359080?itemId=25144221332&vendorItemId=92143117148,asus,"젠북 14, U7 255H",2,,1.0,1,1,146,,,u7 255h,32,onaboard,512,1,14.0,8.0,128,75,oled,8,9.25,쿠팡,,8.108108108108109,0.6689874794280142,1.4746835443037973,-2.6615969581749113,2.075949367088608,
17,https://www.coupang.com/vp/products/8544270516?itemId=24738885102&vendorItemId=91747617943,asus,"젠북 S16, U7 258V",1,,,1,1,203,259.98,28.1,u7 258v,32,onaboard,1024,1,16.0,8.0,150,78,oled,8,8.0,쿠팡,2026-04-26 00:58,9.75,2.3108793713199054,1.4746835443037973,-9.638554216867462,2.075949367088608,0.0
6,https://www.coupang.com/vp/products/8579806173?itemId=24867355094&vendorItemId=91874318252,asus,"[ARM] 젠북 A14, X1-26",1,,,1,1,110,111.104,1.0,x1-26,16,onboard,512,1,14.0,6.0,90,48,ips,3,5.5,쿠팡,2026-04-26 01:03,8.727272727272727,1.288152098592632,-0.5253164556962027,-31.55893536121674,-2.924050632911392,0.0
23,https://www.coupang.com/vp/products/8648574647?itemId=25102068021&vendorItemId=92104783093,hp,"옴니북 3 14, i3 1315U",1,,,1,1,45,59.755,32.8,i3 1315u,8,dual,256,1,14.0,3.0,140,41,ips,3,9.5,쿠팡,2026-04-26 01:08,4.315789473684211,-3.123331154995884,-3.5253164556962027,6.463878326996195,-2.924050632911392,0.0
19,https://www.coupang.com/vp/products/8620630703?itemId=25010066108&vendorItemId=92015050332,hp,"노트북 14, i5 1334U",1,,1.0,1,1,45,,,i5 1334u,8,single,256,0,14.0,3.0,140,41,ips,3,9.5,쿠팡,,4.315789473684211,-3.123331154995884,-3.5253164556962027,6.463878326996195,-2.924050632911392,
25,https://www.coupang.com/vp/products/8740557641?itemId=25402248933&vendorItemId=92395806929,hp,"옴니북 5 NAGI 16, R5 340",1,,1.0,1,1,78,,,r5 340,16,onboard,512,1,16.0,4.0,179,43,ips,5,8.75,쿠팡,,4.914285714285715,-2.52483491439438,-2.5253164556962027,7.831325301204828,-0.924050632911392,
27,https://www.coupang.com/vp/products/8688208941?itemId=25224312267&vendorItemId=92220619670,hp,"옴니북 X 플립 14, R7 340 OLED",1,,,1,1,126,199.9,58.7,r5 340,16,onboard,512,1,14.0,8.0,141,59,oled,5,9.25,쿠팡,2026-04-26 01:13,6.378378378378378,-1.0607422503017165,1.4746835443037973,7.224334600760457,-0.924050632911392,0.0
20,https://www.coupang.com/vp/products/8099175514?itemId=22901913166&vendorItemId=89936416843,hp,"노트북 15, R5 7430U",1,,,1,1,47,54.9,16.8,r5 7430u,8,single,256,0,15.6,3.0,159,41,ips,3,9.75,쿠팡,2026-04-26 01:18,4.205128205128205,-3.2339924235518893,-3.5253164556962027,-0.06285355122562919,-2.924050632911392,0.0
21,https://www.coupang.com/vp/products/8703035211?itemId=25273784880&vendorItemId=92269450641,hp,"노트북 255 G10, R5 7530U",1,,1.0,1,1,50,,,r5 7530u,8,single,256,0,15.6,2.0,152,41,ips,3,9.0,쿠팡,,4.555555555555555,-2.8835650731245392,-4.525316455696203,-4.462602137020724,-2.924050632911392,
24,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"옴니북 3 15.6, R7 340",1,,,1,1,72,110.9,54.0,r5 340,16,dual,256,1,15.6,3.0,170,41,ips,5,8.75,쿠팡,2026-04-26 01:23,4.685714285714286,-2.7534063429658087,-3.5253164556962027,6.851037083595244,-0.924050632911392,0.0
26,https://www.coupang.com/vp/products/8743114968?itemId=25409271495&vendorItemId=92402704438,hp,"옴니북 7 에어로 13, R7 350",1,,1.0,1,1,133,,,r7 350,32,onboard,512,1,13.0,6.0,99,43,ips,7,8.0,쿠팡,,5.375,-2.0641206286800946,-0.5253164556962027,-13.347921225382933,1.075949367088608,
28,https://www.coupang.com/vp/products/8847574516?itemId=25515379290&vendorItemId=92507314479,hp,"옴니북 X 플립 14, U5 226V IPS",1,,,1,1,107,159.0,48.6,u5 226v,16,onboard,512,1,14.0,4.0,139,59,ips,7,6.0,쿠팡,2026-04-26 01:29,9.833333333333334,2.3942127046532393,-2.5253164556962027,5.703422053231932,1.075949367088608,0.0
29,https://www.coupang.com/vp/products/8734831107?itemId=25383774207&vendorItemId=92377682363,hp,"옴니북 X 플립 14, U5 226V OLED",1,,,1,1,139,150.8,8.5,u5 226v,16,onboard,512,1,14.0,8.0,139,59,oled,7,7.25,쿠팡,2026-04-26 01:33,8.137931034482758,0.6988104058026634,1.4746835443037973,5.703422053231932,1.075949367088608,0.0
31,https://www.coupang.com/vp/products/8565613980?itemId=24810120311&vendorItemId=92229848441,hp,"옴니북 울트라 플립 14, U5 226V",1,,,1,1,176,226.86,28.9,u5 226v,16,onboard,1024,1,14.0,8.0,135,64,oled,7,7.25,쿠팡,2026-04-26 01:38,8.827586206896552,1.388465578216457,1.4746835443037973,2.661596958174897,1.075949367088608,0.0
22,https://www.coupang.com/vp/products/8849752787?itemId=25016750920&vendorItemId=92021599232,hp,"엘리트북 울트라 G1I 14, U5 228V",1,,1.0,1,1,210,,,u5 228v,32,onboard,512,1,14.0,8.0,119,64,oled,7,6.75,쿠팡,,9.481481481481481,2.0423608528013864,1.4746835443037973,-9.50570342205323,1.075949367088608,
30,https://www.coupang.com/vp/products/8829827803?itemId=25383774406&vendorItemId=92377682706,hp,"옴니북 X 플립 14, U7 258V OLED",1,,,1,1,160,180.8,13.0,u7 258v,32,onboard,512,1,14.0,8.0,139,59,oled,8,7.25,쿠팡,2026-04-26 01:43,8.137931034482758,0.6988104058026634,1.4746835443037973,5.703422053231932,2.075949367088608,0.0
32,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"옴니북 울트라 플립 14, U7 258V",1,,,1,1,203,224.079,10.4,u7 258v,32,onboard,1024,1,14.0,8.0,135,64,oled,8,7.25,쿠팡,2026-04-26 01:48,8.827586206896552,1.388465578216457,1.4746835443037973,2.661596958174897,2.075949367088608,0.0
44,https://www.coupang.com/vp/products/8956936394?itemId=26207071340&vendorItemId=93186207320,lenovo,"아이디어패드 슬림3 15IRU8, i3 1315U",1,,,1,1,43,49.6,15.3,i3 1315u,8,onboard,512,0,15.6,3.0,162,45,ips,3,10.25,쿠팡,2026-04-26 01:54,4.390243902439025,-3.04887672624107,-3.5253164556962027,1.8227529855437012,-2.924050632911392,0.0
