id,link,brand,name,variant,price_reference,price_current,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,weight,battery,screen_type,graphic,battery_time,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,last_update
22,https://www.coupang.com/vp/products/8906849720?itemId=26014107763&vendorItemId=92995948658,ac,"¾Æ½ºÆÄÀÌ¾î 14, u5 226v",1,770000,,u5 226v,16,onboard,2,1,14,3,5,140,65,ips,6,10.83,6,0,6,ÄíÆÎ,0,0,0,,
4,https://www.coupang.com/vp/products/8563924172,ac,"½ºÀ§ÇÁÆ® 14, u7 258v",1,1400000,,u7 258v,32,onboard,2,1,14,8,8,126,65,oled,7,8.97,7.25,1.25,6,ÄíÆÎ,0,0,0,,
40,https://www.coupang.com/vp/products/8906849724,ac,"½ºÀ§ÇÁÆ® °í 14, u5 225h",1,1050000,,u5 225h,16,onboard,2,1,14,8,8,130,63,oled,6,6.81,9.25,1.25,8,ÄíÆÎ,0,0,0,,
79,https://www.coupang.com/vp/products/8869135849,ac,"½ºÀ§ÇÁÆ® °í 16, r5 340",1,1220000,,r5 340,16,onboard,4,1,16,8,8,150,75,oled,4,7.5,10,2,8,ÄíÆÎ,0,0,0,,
54,https://www.coupang.com/vp/products/8869191358,ac,"½ºÀ§ÇÁÆ® °í 16, r7 350",1,1320000,,r7 350,32,onboard,4,1,16,8,8,150,75,oled,6,7.5,10,2,8,ÄíÆÎ,0,0,0,,
11,https://www.coupang.com/vp/products/9089345677,ac,"½ºÀ§ÇÁÆ® ¿§Áö 14, u7 258v",1,1750000,,u7 258v,32,onboard,2,1,14,9,8,99,65,oled,7,8.97,7.25,1.25,6,ÄíÆÎ,0,0,0,,
42,https://www.coupang.com/vp/products/8987732920,ac,"¾Æ½ºÆÄÀÌ¾î °í 14, u5 125h",1,700000,,u5 125h,16,onboard,2,1,14,6,5,147,54,ips,6,6.17,8.75,0,8.75,ÄíÆÎ,0,0,0,,
89,https://www.coupang.com/vp/products/8773621852,ac,"¾Æ½ºÆÄÀÌ¾î ¶óÀÌÆ® 16, i3 1305u",1,420000,,i3 1305u,8,single,2,0,16,3,5,170,58,ips,2,5.66,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,ac,"½ºÀ§ÇÁÆ® ¶óÀÌÆ® 16, u5 115u",1,750000,,u5 115u,16,onboard,2,1,16,3,5,119,58,ips,4,6.44,9,0.75,,ÄíÆÎ,0,0,,,
83,https://www.coupang.com/vp/products/8708067859,ac,"¾Æ½ºÆÄÀÌ¾î ¶óÀÌÆ® 16, i5 1335u",1,520000,,i5 1335u,8,single,2,0,16,3,5,170,58,ips,3,5.66,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
49,https://www.coupang.com/vp/products/8633389205?itemId=25048205481&vendorItemId=92052723728,as,"ºñº¸ºÏ 15, r7 5825u",1,450000,,r7 5825u,8,single,2,0,15.6,2,3,170,42,ips,3,4.31,9.75,0.75,9,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
85,https://www.coupang.com/vp/products/8982838372?itemId=26302272690&vendorItemId=93279989300,as,"ºñº¸ºÏ 16, i5 120u",1,500000,,i5 120u,8,single,2,0,16,3,3,188,42,ips,3,4.1,10.25,0.75,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
30,https://www.coupang.com/vp/products/8593723288?itemId=24917488765&vendorItemId=91923824133,as,"ºñº¸ºÏ 16, u5 225h",1,700000,,u5 225h,16,dual,2,1,16,3,5,189,42,ips,6,4.8,8.75,0.75,8,ÄíÆÎ,0,0,0,,
61,https://www.coupang.com/vp/products/8620714025,as,"ºñº¸ºÏ 18, r7 260",1,900000,,r7 260,16,onabord,2,0,18.4,6,6,260,70,ips,6,7.37,9.5,0.75,8.75,ÄíÆÎ,0,0,0,,
82,https://www.coupang.com/vp/products/8814642136?itemId=25682243168&vendorItemId=92671562598,as,"ºñº¸ºÏ s16, i5 13420h",1,770000,,i5 13420h,16,single,2,1,16,8,5,170,70,oled,2,5.96,11.75,1.25,10.5,ÄíÆÎ,0,0,0,,
52,https://www.coupang.com/vp/products/8941702848?itemId=26149371639&vendorItemId=93129360141,as,"ºñº¸ºÏ s16, r7 350",1,1100000,,r7 350,16,single,2,1,16,8,5,170,70,oled,6,7.57,9.25,1.25,8,ÄíÆÎ,0,0,0,,
32,https://www.coupang.com/vp/products/8952483892?itemId=26187891331&vendorItemId=93167335508,as,"ºñº¸ºÏ s16, u5 225h",1,1030000,,u5 225h,16,single,2,1,16,8,5,170,70,oled,6,7.57,9.25,1.25,8,ÄíÆÎ,0,0,0,,
14,https://www.coupang.com/vp/products/8533865160?itemId=24703151720&vendorItemId=91712741111,as,"ºñº¸ºÏ s16, u7 255h",1,1130000,,u7 255h,16,onabord,4,1,16,8,8,150,75,oled,7,7.5,10,2,8,ÄíÆÎ,0,0,0,,
44,https://www.coupang.com/vp/products/8399146047,as,"ºñº¸ºÏs 14, r9 hx370",1,1250000,,r9 hx370,24,onabord,2,0,14,8,5,130,75,oled,7,8.82,8.5,0.5,8,ÄíÆÎ,0,0,0,,
15,https://www.coupang.com/vp/products/8539448432?itemId=24722655866&vendorItemId=91731863931,as,"Á¨ºÏ 14, u7 255h",1,1230000,,u7 255h,16,onaboard,2,1,14,8,8,128,75,oled,7,8.11,9.25,1.25,8,ÄíÆÎ,0,0,0,,
16,https://www.coupang.com/vp/products/8663359080?itemId=25144221332&vendorItemId=92143117148,as,"Á¨ºÏ 14, u7 255h",2,1370000,,u7 255h,32,onaboard,2,1,14,8,8,128,75,oled,7,8.11,9.25,1.25,8,ÄíÆÎ,0,0,0,,
28,https://www.coupang.com/vp/products/8641568032,as,"Á¨ºÏ s14, u5 226v",1,1500000,,u5 226v,16,onaboard,2,1,14,8,8,120,72,oled,6,9.93,7.25,1.25,6,ÄíÆÎ,0,0,0,,
29,https://www.coupang.com/vp/products/8410862361,as,"Á¨ºÏ s14, u5 226v",2,1500000,,u5 226v,16,onaboard,2,1,14,8,8,120,72,oled,6,9.93,7.25,1.25,6,ÄíÆÎ,0,0,0,,
8,https://www.coupang.com/vp/products/8642000420?itemId=25080090882&vendorItemId=92084007696,as,"Á¨ºÏ s14, u7 258v",1,1750000,,u7 258v,32,onaboard,2,1,14,8,8,120,72,oled,7,9.93,7.25,1.25,6,ÄíÆÎ,0,0,0,,
9,https://www.coupang.com/vp/products/8544270516,as,"Á¨ºÏ s16, u7 258v",1,1900000,,u7 258v,32,onaboard,4,1,16,8,8,150,78,oled,7,9.75,8,2,6,ÄíÆÎ,0,0,0,,
10,https://www.coupang.com/vp/products/8641990955,as,"Á¨ºÏ s16, u7 258v",2,1900000,,u7 258v,32,onaboard,4,1,16,8,8,150,78,oled,7,9.75,8,2,6,ÄíÆÎ,0,0,0,,
84,https://www.coupang.com/vp/products/8620630703?itemId=25010066108&vendorItemId=92015050332,hp,"³ëÆ®ºÏ 14, i5 1334u",1,400000,,i5 1334u,8,single,1,0,14,3,3,140,41,ips,3,4.32,9.5,0,9.5,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
73,https://www.coupang.com/vp/products/8099175514,hp,"³ëÆ®ºÏ 15, r5 7430u",1,420000,,r5 7430u,8,single,1,0,15.6,3,3,159,41,ips,3,4.21,9.75,0.75,9,ÄíÆÎ,0,0,0,·¥ ÀåÂø ±ÇÀå,
90,https://www.coupang.com/vp/products/8721859542,hp,"³ëÆ®ºÏ 17, i3 1215u",1,430000,,i3 1215u,8,dual,1,1,17.3,3,3,238,41,ips,2,3.64,11.25,0.75,10.5,ÄíÆÎ,0,0,0,,
88,https://www.coupang.com/vp/products/8648574647?itemId=25102068021&vendorItemId=92104783093,hp,"¿È´ÏºÏ 3 14, i3 1315u",1,400000,,i3 1315u,8,dual,1,1,14,3,3,140,41,ips,3,4.32,9.5,0,9.5,ÄíÆÎ,0,0,0,,
86,https://www.coupang.com/vp/products/8648574647?itemId=25102068022&vendorItemId=92104783099,hp,"¿È´ÏºÏ 3 14, i3 1315u",1,480000,,i3 1315u,16,dual,2,1,14,3,3,140,41,ips,3,4.32,9.5,0,9.5,ÄíÆÎ,0,0,0,,
51,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"¿È´ÏºÏ 3 15.6, r7 340",1,680000,,r7 340,16,dual,1,1,15.6,3,3,170,41,ips,4,4.69,8.75,0.75,8,ÄíÆÎ,0,0,0,,
51,https://www.coupang.com/vp/products/8785877887?itemId=25566791886&vendorItemId=92557979714,hp,"¿È´ÏºÏ 3 15.6, r7 350",1,750000,,r7 350,16,dual,1,1,15.6,3,3,170,41,ips,6,4.69,8.75,0.75,8,ÄíÆÎ,0,0,0,,
65,https://www.coupang.com/vp/products/8847458166?itemId=25789395906&vendorItemId=92777182389,hp,"¿È´ÏºÏ 5 16, r5 8540u",1,630000,,r5 8540u,16,onboard,2,1,16,3,5,179,59,ips,5,6.56,9,0.75,8.25,ÄíÆÎ,0,0,0,,
