id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update,last_update
22.0,https://www.coupang.com/vp/products/8906849720?itemId=26014107763&vendorItemId=92995948658,acer,"아스파이어 14, u5 226v",1,1.0,77,109.9,,u5 226v,16,onboard,2,1,14.0,3,5,4.0,,140,4.058272633,65,ips,6,0.72826087,10.83,3.767717391,6.0,0.0,6.0,쿠팡,0,0,0.0,,a,2026-03-14 02:01
4.0,https://www.coupang.com/vp/products/8563924172,acer,"스위프트 14, u7 258v",1,,140,151.9,8.5,u7 258v,32,onboard,2,1,14.0,8,8,8.0,1.798913043,126,-6.347554631,65,oled,7,1.72826087,8.97,1.907717391,7.25,1.25,6.0,쿠팡,0,0,0.0,,,2026-03-14 02:05
40.0,https://www.coupang.com/vp/products/8906849724,acer,"스위프트 고 14, u5 225h",1,,105,151.15,44.0,u5 225h,16,onboard,2,1,14.0,8,8,8.0,1.798913043,130,-3.374461127,63,oled,6,0.72826087,6.81,-0.252282609,9.25,1.25,8.0,쿠팡,0,0,0.0,,,2026-03-14 02:09
79.0,https://www.coupang.com/vp/products/8869135849,acer,"스위프트 고 16, r5 340",1,,122,183.3,50.2,r5 340,16,onboard,4,1,16.0,8,8,8.0,1.798913043,150,-13.04347826,75,oled,4,-1.27173913,7.5,0.437717391,10.0,2.0,8.0,쿠팡,0,0,0.0,,,2026-03-14 02:13
54.0,https://www.coupang.com/vp/products/8869191358,acer,"스위프트 고 16, r7 350",1,,132,219.3,66.1,r7 350,32,onboard,4,1,16.0,8,8,8.0,1.798913043,150,-13.04347826,75,oled,6,0.72826087,7.5,0.437717391,10.0,2.0,8.0,쿠팡,0,0,0.0,,,2026-03-14 02:17
11.0,https://www.coupang.com/vp/products/9089345677,acer,"스위프트 엣지 14, u7 258v",1,,175,210.0,20.0,u7 258v,32,onboard,2,1,14.0,9,8,8.5,2.298913043,99,-26.41593578,65,oled,7,1.72826087,8.97,1.907717391,7.25,1.25,6.0,쿠팡,0,0,0.0,,,2026-03-14 02:21
42.0,https://www.coupang.com/vp/products/8987732920,acer,"아스파이어 고 14, u5 125h",1,,70,117.3,67.6,u5 125h,16,onboard,2,1,14.0,6,5,5.5,-0.701086957,147,9.261186264,54,ips,6,0.72826087,6.17,-0.892282609,8.75,0.0,8.75,쿠팡,0,0,0.0,,,2026-03-14 02:25
89.0,https://www.coupang.com/vp/products/8773621852,acer,"아스파이어 라이트 16, i3 1305u",1,,42,48.9,16.4,i3 1305u,8,single,2,0,16.0,3,5,4.0,-2.201086957,170,-1.449275362,58,ips,2,-3.27173913,5.66,-1.402282609,10.25,0.75,9.5,쿠팡,0,0,0.0,램 장착 권장,,2026-03-14 02:29
,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,acer,"스위프트 라이트 16, u5 115u",1,,75,69.9,-6.8,u5 115u,16,onboard,2,1,16.0,3,5,4.0,-2.201086957,119,-31.01449275,58,ips,4,-1.27173913,6.44,-0.622282609,9.0,0.75,,쿠팡,0,0,,,,2026-03-14 02:33
83.0,https://www.coupang.com/vp/products/8708067859,acer,"아스파이어 라이트 16, i5 1335u",1,,52,68.9,32.5,i5 1335u,8,single,2,0,16.0,3,5,4.0,-2.201086957,170,-1.449275362,58,ips,3,-2.27173913,5.66,-1.402282609,10.25,0.75,9.5,쿠팡,0,0,0.0,램 장착 권장,,2026-03-14 02:37
