overall_score,brand_score,price_score,budgetfit_score,weight_score,battery_score,graphic_score,display_score,ips_score,oled_score,window_score
76.5,-7.5,24.0,0.0,0.0,-0.0,0.0,0.0,0,0,0
76.5,-7.5,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0
76.5,-7.5,24.0,0.0,0.0,0.0,-0.0,0.0,0,0,0
76.5,-7.5,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0
76.5,-7.5,24.0,0.0,-0.0,-0.0,0.0,-0.0,0,0,0
76.5,-7.5,24.0,0.0,-0.0,-0.0,0.0,-0.0,0,0,0
76.5,-7.5,24.0,0.0,0.0,-0.0,-0.0,-0.0,0,0,0
76.5,-7.5,24.0,0.0,-0.0,-0.0,-0.0,-0.0,0,0,0
76.5,-7.5,24.0,0.0,0.0,-0.0,0.0,0.0,0,0,0
76.5,-7.5,24.0,0.0,0.0,0.0,0.0,0.0,0,0,0
