id,link,brand,name,variant,sold_out,price_reference,price_current,discount_rate,cpu,ram,ram_type,ssd,window,screen_size,color_gamut,resolution,display,display_centered,weight,weight_diff_pct,battery,screen_type,graphic,graphic_centered,battery_time,battery_time_centered,w_per_h,wph1,wph2,market,convertible,sd_slot,tb_usb4,remark,lasust_update,brand_score,price_score,budgetfit_score,size_score,weight_score,battery_score,graphic_score,display_score,ips_score,oled_score,window_score,overall_score
19.0,https://www.coupang.com/vp/products/8673080963,lenovo,"¿ä°¡ 7 2in1 14ill10, u5 258v",1.0,,1750000.0,1447160.0,-17.3,u5 258v,32.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,138.0,2.434679335,70.0,oled,7.0,1.73,9.66,2.6,7.25,1.25,6.0,ÄíÆÎ,1.0,0.0,0.0,,,0.0,20.76,-5.0,-5,-0.48693586699999997,2.6,1.73,1.8,0,0,5,86.403064133
5.0,https://www.coupang.com/vp/products/8734831107,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 258v oled",1.0,,1500000.0,1291770.0,-13.9,u7 258v,32.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,139.0,3.17695962,59.0,oled,7.0,1.73,8.14,1.08,7.25,1.25,6.0,ÄíÆÎ,1.0,0.0,1.0,,,0.0,16.68,-5.0,-5,-0.635391924,1.08,1.73,1.8,0,0,5,80.654608076
20.0,https://www.coupang.com/vp/products/8673080963,lenovo,"¿ä°¡ 7 2in1 14ill10, u5 228v",1.0,,1650000.0,1447160.0,-12.3,u5 228v,32.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,138.0,2.434679335,70.0,oled,6.0,0.73,9.66,2.6,7.25,1.25,6.0,ÄíÆÎ,1.0,0.0,0.0,,,0.0,14.76,-5.0,-5,-0.48693586699999997,2.6,0.73,1.8,0,0,5,79.403064133
12.0,https://www.coupang.com/vp/products/8941646336?itemId=26149113277&vendorItemId=93129106561,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u7 256v oled",1.0,,1350000.0,1234050.0,-8.6,u7 256v,32.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,139.0,3.17695962,59.0,oled,7.0,1.73,8.14,1.08,7.25,1.25,6.0,ÄíÆÎ,1.0,0.0,1.0,,,0.0,10.319999999999999,-5.0,-5,-0.635391924,1.08,1.73,1.8,0,0,5,74.294608076
21.0,https://www.coupang.com/vp/products/8670590507,lenovo,"¿ä°¡ ½½¸²7 14ill10, u5 228v",1.0,,1550000.0,1539600.0,-0.7,u5 228v,32.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,119.0,-11.66864608,70.0,oled,6.0,0.73,9.66,2.6,7.25,1.25,6.0,ÄíÆÎ,0.0,0.0,0.0,,,0.0,0.84,-5.0,-5,2.333729216,2.6,0.73,1.8,0,0,5,68.303729216
6.0,https://www.coupang.com/vp/products/8398992443?itemId=24277916398&vendorItemId=91294313138,hp,"¿È´ÏºÏ ¿ïÆ®¶ó ÇÃ¸³ 14, u7 258v",1.0,,1900000.0,1896249.0,-0.2,u7 258v,32.0,onboard,4.0,1.0,14.0,8.0,8.0,8.0,1.8,135.0,0.20783848,64.0,oled,7.0,1.73,8.83,1.77,7.25,1.25,6.0,ÄíÆÎ,1.0,0.0,3.0,,,0.0,0.24,-5.0,-5,-0.041567696,1.77,1.73,1.8,0,0,5,65.498432304
,https://www.coupang.com/vp/products/9047218674?itemId=26552559197&vendorItemId=93526407709,acer,"½ºÀ§ÇÁÆ® ¶óÀÌÆ® 16, u5 115u",1.0,,750000.0,735050.0,-2.0,u5 115u,16.0,onboard,2.0,1.0,16.0,3.0,5.0,4.0,-2.2,119.0,-31.08640259,58.0,ips,4.0,-1.27,6.44,-0.62,9.0,0.75,,ÄíÆÎ,0.0,0.0,,,,0.0,2.4,-5.0,5,6.217280518,-0.62,-1.27,-2.2,0,0,5,64.527280518
26.0,https://www.coupang.com/vp/products/8734831107,hp,"¿È´ÏºÏ x ÇÃ¸³ 14, u5 226v oled",1.0,,1300000.0,1291770.0,-0.6,u5 226v,16.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,139.0,3.17695962,59.0,oled,6.0,0.73,8.14,1.08,7.25,1.25,6.0,ÄíÆÎ,1.0,0.0,1.0,,,0.0,0.72,-5.0,-5,-0.635391924,1.08,0.73,1.8,0,0,5,63.694608076
38.0,https://www.coupang.com/vp/products/8518435232?itemId=24662380325&vendorItemId=91672792975,lg,"±×·¥ÇÁ·Î 17, u5 225h",1.0,,1750000.0,1863620.0,6.5,u5 225h,16.0,onboard,1.0,1.0,17.0,7.0,8.0,7.5,1.3,139.0,-27.47573829,77.0,ips,6.0,0.73,8.11,1.05,9.5,1.5,8.0,ÄíÆÎ,0.0,0.0,2.0,,,0.0,-7.8,-5.0,5,5.4951476580000005,1.05,0.73,1.3,0,0,5,60.775147658
4.0,https://www.coupang.com/vp/products/8563924172,acer,"½ºÀ§ÇÁÆ® 14, u7 258v",1.0,,1400000.0,1473430.0,5.2,u7 258v,32.0,onboard,2.0,1.0,14.0,8.0,8.0,8.0,1.8,126.0,-6.472684086,65.0,oled,7.0,1.73,8.97,1.91,7.25,1.25,6.0,ÄíÆÎ,0.0,0.0,0.0,,,0.0,-6.24,-5.0,-5,1.2945368172,1.91,1.73,1.8,0,0,5,60.4945368172
